date,price
22/03/2015,481.9422
23/03/2015,479.4668
24/03/2015,443.3009
25/03/2015,442.6246
26/03/2015,443.3303
27/03/2015,443.2129
28/03/2015,451.1115
29/03/2015,434.3004
30/03/2015,441.7097
31/03/2015,435.9645
1/04/2015,437.094
2/04/2015,447.5414
3/04/2015,452.578
4/04/2015,452.421
5/04/2015,462.2759
6/04/2015,455.4571
7/04/2015,452.6231
8/04/2015,438.4004
9/04/2015,435.2477
10/04/2015,419.1259
11/04/2015,422.0594
12/04/2015,421.6473
13/04/2015,400.89
14/04/2015,390.6881
15/04/2015,398.0584
16/04/2015,406.8403
17/04/2015,397.5429
18/04/2015,397.7921
19/04/2015,396.923
20/04/2015,400.0503
21/04/2015,417.3244
22/04/2015,416.32
23/04/2015,418.7714
24/04/2015,411.8192
25/04/2015,403.4699
26/04/2015,389.839
27/04/2015,406.4564
28/04/2015,400.9325
29/04/2015,402.2888
30/04/2015,419.7283
1/05/2015,413.8613
2/05/2015,417.8229
3/05/2015,425.2088
4/05/2015,423.624
5/05/2015,418.2945
6/05/2015,407.979
7/05/2015,418.264
8/05/2015,429.5644
9/05/2015,426.042
10/05/2015,421.9578
11/05/2015,425.7169
12/05/2015,425.2141
13/05/2015,414.2606
14/05/2015,415.4321
15/05/2015,416.2796
16/05/2015,414.768
17/05/2015,413.4259
18/05/2015,405.4537
19/05/2015,408.1021
20/05/2015,412.2084
21/05/2015,414.2959
22/05/2015,424.0628
23/05/2015,421.7362
24/05/2015,425.5902
25/05/2015,419.6493
26/05/2015,419.4687
27/05/2015,419.8101
28/05/2015,424.1202
29/05/2015,427.7956
30/05/2015,418.8473
31/05/2015,412.176
1/06/2015,399.1723
2/06/2015,404.1701
3/06/2015,404.1042
4/06/2015,401.6025
5/06/2015,403.4991
6/06/2015,403.9239
7/06/2015,400.7862
8/06/2015,410.0379
9/06/2015,411.3157
10/06/2015,410.4232
11/06/2015,411.7945
12/06/2015,412.5752
13/06/2015,416.5563
14/06/2015,418.5063
15/06/2015,425.8898
16/06/2015,450.9443
17/06/2015,447.3251
18/06/2015,451.9166
19/06/2015,446.2732
20/06/2015,449.3641
21/06/2015,444.5728
22/06/2015,450.526
23/06/2015,445.1434
24/06/2015,440.2946
25/06/2015,443.8225
26/06/2015,444.53
27/06/2015,459.5618
28/06/2015,454.8298
29/06/2015,470.3657
30/06/2015,478.1725
1/07/2015,469.1141
2/07/2015,463.9786
3/07/2015,465.3771
4/07/2015,472.5622
5/07/2015,487.2732
6/07/2015,482.6239
7/07/2015,476.5071
8/07/2015,482.7691
9/07/2015,481.5172
10/07/2015,506.4287
11/07/2015,515.9337
12/07/2015,546.4046
13/07/2015,514.2892
14/07/2015,507.9743
15/07/2015,502.6469
16/07/2015,489.0871
17/07/2015,491.3261
18/07/2015,485.5583
19/07/2015,482.7119
20/07/2015,489.1019
21/07/2015,484.5332
22/07/2015,486.2082
23/07/2015,485.2298
24/07/2015,507.0109
25/07/2015,507.5611
26/07/2015,513.8089
27/07/2015,516.6987
28/07/2015,518.9445
29/07/2015,510.144
30/07/2015,507.3052
31/07/2015,501.7726
1/08/2015,495.7627
2/08/2015,497.3199
3/08/2015,497.6853
4/08/2015,501.4421
5/08/2015,496.863
6/08/2015,490.6136
7/08/2015,491.7376
8/08/2015,462.029
9/08/2015,470.4018
10/08/2015,468.5025
11/08/2015,478.3925
12/08/2015,473.8465
13/08/2015,466.4287
14/08/2015,469.6633
15/08/2015,462.3042
16/08/2015,456.9729
17/08/2015,455.5282
18/08/2015,448.3466
19/08/2015,401.8158
20/08/2015,416.8727
21/08/2015,413.0982
22/08/2015,407.2742
23/08/2015,403.4735
24/08/2015,374.2811
25/08/2015,391.8331
26/08/2015,399.7487
27/08/2015,396.1848
28/08/2015,410.0369
29/08/2015,406.0161
30/08/2015,406.49
31/08/2015,409.2468
1/09/2015,404.0801
2/09/2015,406.0111
3/09/2015,401.4917
4/09/2015,406.9373
5/09/2015,417.1408
6/09/2015,424.4065
7/09/2015,426.7773
8/09/2015,431.1798
9/09/2015,421.4949
10/09/2015,422.7319
11/09/2015,427.3581
12/09/2015,418.1065
13/09/2015,411.8217
14/09/2015,407.3413
15/09/2015,408.0081
16/09/2015,404.6783
17/09/2015,411.7062
18/09/2015,411.8034
19/09/2015,409.7681
20/09/2015,409.5525
21/09/2015,401.1398
22/09/2015,406.2989
23/09/2015,404.4345
24/09/2015,410.9542
25/09/2015,412.4019
26/09/2015,411.2135
27/09/2015,408.5948
28/09/2015,418.2356
29/09/2015,412.1306
30/09/2015,409.8841
1/10/2015,411.8561
2/10/2015,412.1737
3/10/2015,413.861
4/10/2015,412.0459
5/10/2015,413.6125
6/10/2015,424.736
7/10/2015,419.7207
8/10/2015,419.2348
9/10/2015,421.7809
10/10/2015,422.0202
11/10/2015,425.6504
12/10/2015,422.3756
13/10/2015,428.2505
14/10/2015,433.7159
15/10/2015,436.8193
16/10/2015,448.8605
17/10/2015,460.8584
18/10/2015,446.8852
19/10/2015,449.9101
20/10/2015,457.9866
21/10/2015,452.6534
22/10/2015,464.1316
23/10/2015,469.787
24/10/2015,478.5343
25/10/2015,481.758
26/10/2015,483.8303
27/10/2015,499.638
28/10/2015,515.1496
29/10/2015,533.1947
30/10/2015,551.9386
31/10/2015,528.3322
1/11/2015,551.0198
2/11/2015,592.1966
3/11/2015,668.5541
4/11/2015,675.0405
5/11/2015,646.648
