DATE,DTB4WK
12/06/2014,0.02
13/06/2014,0.02
16/06/2014,0.03
17/06/2014,0.03
18/06/2014,0.03
19/06/2014,0.01
20/06/2014,0.01
23/06/2014,0.02
24/06/2014,0.01
25/06/2014,0.01
26/06/2014,0.01
27/06/2014,0.02
30/06/2014,0.02
1/07/2014,0.03
2/07/2014,0.02
3/07/2014,0.01
4/07/2014,.
7/07/2014,0.02
8/07/2014,0.02
9/07/2014,0.03
10/07/2014,0.02
11/07/2014,0.02
14/07/2014,0.02
15/07/2014,0.02
16/07/2014,0.02
17/07/2014,0.02
18/07/2014,0.03
21/07/2014,0.02
22/07/2014,0.03
23/07/2014,0.03
24/07/2014,0.04
25/07/2014,0.03
28/07/2014,0.03
29/07/2014,0.03
30/07/2014,0.03
31/07/2014,0.01
1/08/2014,0.01
4/08/2014,0.02
5/08/2014,0.03
6/08/2014,0.03
7/08/2014,0.03
8/08/2014,0.03
11/08/2014,0.03
12/08/2014,0.05
13/08/2014,0.04
14/08/2014,0.04
15/08/2014,0.03
18/08/2014,0.02
19/08/2014,0.04
20/08/2014,0.04
21/08/2014,0.03
22/08/2014,0.04
25/08/2014,0.02
26/08/2014,0.04
27/08/2014,0.02
28/08/2014,0.02
29/08/2014,0.02
1/09/2014,.
2/09/2014,0.02
3/09/2014,0.02
4/09/2014,0.02
5/09/2014,0.02
8/09/2014,0.01
9/09/2014,0.01
10/09/2014,0.01
11/09/2014,0.01
12/09/2014,0.01
15/09/2014,0.01
16/09/2014,0.01
17/09/2014,0.01
18/09/2014,0.01
19/09/2014,0.01
22/09/2014,0
23/09/2014,0.01
24/09/2014,0.01
25/09/2014,0
26/09/2014,0.01
29/09/2014,0.01
30/09/2014,0.02
1/10/2014,0.01
2/10/2014,0.01
3/10/2014,0.01
6/10/2014,0.01
7/10/2014,0.02
8/10/2014,0.01
9/10/2014,0.02
10/10/2014,0.02
13/10/2014,.
14/10/2014,0.03
15/10/2014,0.02
16/10/2014,0.04
17/10/2014,0.03
20/10/2014,0.03
21/10/2014,0.04
22/10/2014,0.04
23/10/2014,0.02
24/10/2014,0.02
27/10/2014,0.03
28/10/2014,0.02
29/10/2014,0.01
30/10/2014,0.01
